CROWN_REDUC_CODE,SPECIES,SOURCE,DOMINANT,CODOMINANT,INTERMEDIATE,SUPPRESSED,OTHER_NONE
WF,White fir,KG,0.85,0.85,0.35,0.3,0.5
PP,Ponderosa pine,KG,0.55,0.55,0.3,0.15,0.5
PS,SW ponderosa pine,KG,0.3,0.3,0.15,0.1,0.5
IC,Incense cedar,KG,1.1,1.1,0.75,0.4,0.5
DF,Douglas-fir,KG,1.15,1.15,1.15,0.75,0.5
LP,Lodgepole pine,KG,0.6,0.6,0.6,0.3,0.5
WL,Western larch,BK,1.0,0.45,0.3,0.2,0.5
WP,White pine,BK,0.8,0.9,0.6,0.35,0.7
WC,Western redcedar,BK,1.0,1.0,1.0,0.6,0.75
PJ,Pinyon & juniper,None,1.0,1.0,1.0,1.0,1.0
