COVER_EQ,FVS_CODE,A,B,RATIO
1,SF,3.9723,0.5177,0.473
2,WF,3.8166,0.5229,0.452
3,GF,4.187,0.5341,0.489
4,AF,3.2348,0.5179,0.385
5,RF,3.1146,0.578,0.345
7,NF,3.0614,0.6276,0.32
8,YC,3.5341,0.5374,0.331
9,C,4.092,0.4912,0.412
10,S,3.6802,0.494,0.412
11,LP,2.4132,0.6403,0.298
12,JP,3.2367,0.6247,0.406
13,SP,3.061,0.6201,0.385
14,WP,3.4447,0.5185,0.476
15,PP,2.8541,0.64,0.407
16,DF,4.4215,0.5329,0.517
17,RW,4.4215,0.5329,0.517
18,RC,6.2318,0.4259,0.698
19,WH,5.4864,0.5144,0.533
20,MH,2.9372,0.5878,0.253
21,BM,7.5183,0.4461,0.815
22,RA,7.0806,0.4771,0.73
23,WA,7.0806,0.4771,0.73
24,PB,5.898,0.4841,0.601
25,GC,2.4922,0.8544,0.14
26,AS,4.091,0.5907,0.351
27,CW,7.5183,0.4461,0.815
28,WO,2.4922,0.8544,0.14
29,J,4.5859,0.4841,0.468
30,LL,2.1039,0.6758,0.207
31,WB,2.1606,0.6897,0.255
32,KP,2.1451,0.7132,0.248
33,PY,4.5859,0.4841,0.468
34,DG,2.4922,0.8544,0.14
35,HT,4.5859,0.4841,0.468
36,CH,4.5859,0.4841,0.468
37,WI,4.5859,0.4841,0.468
39,OTHER,4.4215,0.5329,0.517
