CODE,NAME,HT_CLASS_FT,TOTAL_LB,FOL_LB,ONE_HR_LB,TEN_HR_LB,HUNDRED_HR_LB,THOUSAND_HR_LB
DF,Douglas-fir,1,0.030,0.011,0.005,0.011,0.002,0.000
DF,Douglas-fir,2,0.200,0.076,0.036,0.076,0.012,0.000
DF,Douglas-fir,3,0.560,0.213,0.101,0.213,0.034,0.000
DF,Douglas-fir,4,1.180,0.448,0.212,0.448,0.071,0.000
DF,Douglas-fir,5,2.090,0.648,0.293,0.481,0.669,0.000
DF,Douglas-fir,6,3.330,1.032,0.466,0.766,1.066,0.000
DF,Douglas-fir,7,4.940,1.531,0.692,1.136,1.581,0.000
DF,Douglas-fir,8,6.950,2.155,0.973,1.599,2.224,0.000
DF,Douglas-fir,9,9.390,2.911,1.315,2.160,3.005,0.000
DF,Douglas-fir,10,12.300,3.321,1.353,2.337,3.690,1.599
PP,Ponderosa pine,1,0.030,0.011,0.005,0.011,0.002,0.000
PP,Ponderosa pine,2,0.200,0.076,0.036,0.076,0.012,0.000
PP,Ponderosa pine,3,0.560,0.213,0.101,0.213,0.034,0.000
PP,Ponderosa pine,4,1.180,0.448,0.212,0.448,0.071,0.000
PP,Ponderosa pine,5,2.090,0.648,0.293,0.481,0.669,0.000
PP,Ponderosa pine,6,3.330,1.032,0.466,0.766,1.066,0.000
PP,Ponderosa pine,7,4.940,1.531,0.692,1.136,1.581,0.000
PP,Ponderosa pine,8,6.950,2.155,0.973,1.599,2.224,0.000
PP,Ponderosa pine,9,9.390,2.911,1.315,2.160,3.005,0.000
PP,Ponderosa pine,10,12.300,3.321,1.353,2.337,3.690,1.599
ES,Spruce,1,0.030,0.015,0.006,0.007,0.002,0.000
ES,Spruce,2,0.200,0.102,0.042,0.046,0.010,0.000
ES,Spruce,3,0.560,0.286,0.118,0.129,0.028,0.000
ES,Spruce,4,1.180,0.602,0.248,0.271,0.059,0.000
ES,Spruce,5,2.090,0.836,0.334,0.355,0.543,0.000
ES,Spruce,6,3.330,1.332,0.533,0.566,0.866,0.000
ES,Spruce,7,4.940,1.976,0.790,0.840,1.284,0.000
ES,Spruce,8,6.950,2.780,1.112,1.182,1.807,0.000
ES,Spruce,9,9.390,3.756,1.502,1.596,2.441,0.000
ES,Spruce,10,12.300,4.059,1.476,2.214,3.567,0.984
SF,Subalpine fir,1,0.030,0.015,0.006,0.007,0.002,0.000
SF,Subalpine fir,2,0.200,0.102,0.042,0.046,0.010,0.000
SF,Subalpine fir,3,0.560,0.286,0.118,0.129,0.028,0.000
SF,Subalpine fir,4,1.180,0.602,0.248,0.271,0.059,0.000
SF,Subalpine fir,5,2.090,0.836,0.334,0.355,0.543,0.000
SF,Subalpine fir,6,3.330,1.332,0.533,0.566,0.866,0.000
SF,Subalpine fir,7,4.940,1.976,0.790,0.840,1.284,0.000
SF,Subalpine fir,8,6.950,2.780,1.112,1.182,1.807,0.000
SF,Subalpine fir,9,9.390,3.756,1.502,1.596,2.441,0.000
SF,Subalpine fir,10,12.300,4.059,1.476,2.214,3.567,0.984
WP,Wester white pine,1,0.060,0.029,0.013,0.018,0.001,0.000
WP,Wester white pine,2,0.250,0.120,0.053,0.075,0.003,0.000
WP,Wester white pine,3,0.610,0.293,0.128,0.183,0.006,0.000
WP,Wester white pine,4,1.150,0.552,0.242,0.345,0.012,0.000
WP,Wester white pine,5,1.870,0.580,0.299,0.337,0.655,0.000
WP,Wester white pine,6,2.780,0.862,0.445,0.500,0.973,0.000
WP,Wester white pine,7,3.880,1.203,0.621,0.698,1.358,0.000
WP,Wester white pine,8,5.190,1.609,0.830,0.934,1.817,0.000
WP,Wester white pine,9,6.710,2.080,1.074,1.208,2.349,0.000
WP,Wester white pine,10,8.430,2.108,1.012,1.265,3.119,0.927
GF,Grand fir,1,0.060,0.031,0.013,0.014,0.003,0.000
GF,Grand fir,2,0.250,0.128,0.053,0.058,0.013,0.000
GF,Grand fir,3,0.610,0.311,0.128,0.140,0.031,0.000
GF,Grand fir,4,1.150,0.587,0.242,0.265,0.058,0.000
GF,Grand fir,5,1.870,0.748,0.299,0.318,0.486,0.000
GF,Grand fir,6,2.780,1.112,0.445,0.473,0.723,0.000
GF,Grand fir,7,3.880,1.552,0.621,0.660,1.009,0.000
GF,Grand fir,8,5.190,2.076,0.830,0.882,1.349,0.000
GF,Grand fir,9,6.710,2.684,1.074,1.141,1.745,0.000
GF,Grand fir,10,8.430,2.782,1.012,1.517,2.445,0.674
WB,Whitebark pine,1,0.060,0.016,0.014,0.023,0.008,0.000
WB,Whitebark pine,2,0.250,0.065,0.058,0.095,0.033,0.000
WB,Whitebark pine,3,0.610,0.159,0.140,0.232,0.079,0.000
WB,Whitebark pine,4,1.150,0.299,0.265,0.437,0.150,0.000
WB,Whitebark pine,5,1.870,0.393,0.355,0.486,0.636,0.000
WB,Whitebark pine,6,2.780,0.584,0.528,0.723,0.945,0.000
WB,Whitebark pine,7,3.880,0.815,0.737,1.009,1.319,0.000
WB,Whitebark pine,8,5.190,1.090,0.986,1.349,1.765,0.000
WB,Whitebark pine,9,6.710,1.409,1.275,1.745,2.281,0.000
WB,Whitebark pine,10,8.430,1.265,1.180,1.349,3.709,0.927
WC,Western red cedar,1,0.020,0.010,0.004,0.005,0.001,0.000
WC,Western red cedar,2,0.130,0.066,0.027,0.030,0.007,0.000
WC,Western red cedar,3,0.340,0.173,0.071,0.078,0.017,0.000
WC,Western red cedar,4,0.690,0.352,0.145,0.159,0.035,0.000
WC,Western red cedar,5,1.170,0.468,0.187,0.199,0.304,0.000
WC,Western red cedar,6,1.820,0.728,0.291,0.309,0.473,0.000
WC,Western red cedar,7,2.640,1.056,0.422,0.449,0.686,0.000
WC,Western red cedar,8,3.650,1.460,0.584,0.621,0.949,0.000
WC,Western red cedar,9,4.840,1.936,0.774,0.823,1.258,0.000
WC,Western red cedar,10,6.240,2.059,0.749,1.123,1.810,0.499
WL,Western larch,1,0.020,0.005,0.005,0.008,0.003,0.000
WL,Western larch,2,0.130,0.034,0.030,0.049,0.017,0.000
WL,Western larch,3,0.340,0.088,0.078,0.129,0.044,0.000
WL,Western larch,4,0.690,0.179,0.159,0.262,0.090,0.000
WL,Western larch,5,1.170,0.246,0.222,0.304,0.398,0.000
WL,Western larch,6,1.820,0.382,0.346,0.473,0.619,0.000
WL,Western larch,7,2.640,0.554,0.502,0.686,0.898,0.000
WL,Western larch,8,3.650,0.767,0.694,0.949,1.241,0.000
WL,Western larch,9,4.840,1.016,0.920,1.258,1.646,0.000
WL,Western larch,10,6.240,0.936,0.874,0.998,2.746,0.686
LP,Lodgepole pine,1,0.020,0.008,0.004,0.008,0.001,0.000
LP,Lodgepole pine,2,0.130,0.049,0.023,0.049,0.008,0.000
LP,Lodgepole pine,3,0.340,0.129,0.061,0.129,0.020,0.000
LP,Lodgepole pine,4,0.690,0.262,0.124,0.262,0.041,0.000
LP,Lodgepole pine,5,1.170,0.363,0.164,0.269,0.374,0.000
LP,Lodgepole pine,6,1.820,0.564,0.255,0.419,0.582,0.000
LP,Lodgepole pine,7,2.640,0.818,0.370,0.607,0.845,0.000
LP,Lodgepole pine,8,3.650,1.132,0.511,0.840,1.168,0.000
LP,Lodgepole pine,9,4.840,1.500,0.678,1.113,1.549,0.000
LP,Lodgepole pine,10,6.240,1.685,0.686,1.186,1.872,0.811
WH,Western hemlock,1,0.010,0.004,0.002,0.004,0.001,0.000
WH,Western hemlock,2,0.050,0.019,0.009,0.019,0.003,0.000
WH,Western hemlock,3,0.160,0.061,0.029,0.061,0.010,0.000
WH,Western hemlock,4,0.350,0.133,0.063,0.133,0.021,0.000
WH,Western hemlock,5,0.640,0.198,0.090,0.147,0.205,0.000
WH,Western hemlock,6,1.050,0.326,0.147,0.242,0.336,0.000
WH,Western hemlock,7,1.600,0.496,0.224,0.368,0.512,0.000
WH,Western hemlock,8,2.310,0.716,0.323,0.531,0.739,0.000
