VALUE,FISCAL_YR,CALENDAR_YR,DIST_TYPE,SEVERITY,SEV_SOURCE,PRIMARY_SOURCE,SECONDARY_SOURCE,DESCRIPTION,R,G,B,RED,GREEN,BLUE
-9999,2025,2025,Fill-NoData,Fill-NoData,Fill-NoData,Fill-NoData,Fill-NoData,Fill-NoData,255,255,255,1.000000,1.000000,1.000000
0,2025,2025,NA,NA,NA,NA,NA,Background,0,0,0,0.000000,0.000000,0.000000
2001,2025,2025,Water,NA,NA,LANDFIRE Water Mask,NA,Water body or other non-mappable land cover type,0,0,255,0.000000,0.000000,1.000000
2011,2025,2025,Fire,Unburned/Low,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2012,2025,2025,Fire,Low,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2013,2025,2025,Fire,Moderate,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2014,2025,2025,Fire,High,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2015,2025,2025,Fire,Increased Green,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2021,2025,2024,Fire,Unburned/Low,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2022,2025,2024,Fire,Low,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2023,2025,2024,Fire,Moderate,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2024,2025,2024,Fire,High,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
2025,2025,2024,Fire,Increased Green,MTBS,MTBS Wildfire,NA,MTBS Provisional Initial Assessment (PIA)-mapped wildfire; replaced by MTBS Extended Assessment data if available,255,0,0,1.000000,0.000000,0.000000
