JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,BETA_CANOPY_a,BETA_CANOPY_b,BETA_CANOPY_c,BETA_CANOPY_NORM,FOLIAGE_SAV
1,-2.0336,2.2592,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.84,1.2405,1.558,0.1286,0.4825749427987415,2974.64
2,-2.2304,2.4435,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,1.2405,1.558,0.1286,0.4825749427987415,3421.705
3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.6276,1.125,1.6973,0.0718,0.5006018386455565,4485.86
4,-2.5356,-2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,1.1821,1.4627,0.1528,0.5526631490100773,3588.45
5,-2.0773,2.3323,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.84,1.125,1.6973,0.0718,0.5006018386455565,3489.08
6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.75,1.9,1.6,0.15,0.25858013218323794,6562.0
7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,1.9,1.6,0.15,0.25858013218323794,6562.0
8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,1.9,1.6,0.15,0.25858013218323794,6562.0
9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.932,1.9,1.6,0.15,0.25858013218323794,6562.0
10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,1.75,1.6,0.14,0.29046508188360853,6562.0
