TRY_ACC_SPECIES_ID,TRY_ACC_SPECIES_NAME,SPCD,GENUS,SPECIES,COMMON_NAME,JENKINS_SPGRPCD,SLA_PETIOLE_EXCLUDED,SLA_PETIOLE_EXCLUDED_NUM_KEPT_OBS,SLA_PETIOLE_EXCLUDED_NUM_TOTAL_OBS,SLA_PETIOLE_EXCLUDED_NUM_REMOVED_OBS,SLA_PETIOLE_INCLUDED,SLA_PETIOLE_INCLUDED_NUM_KEPT_OBS,SLA_PETIOLE_INCLUDED_NUM_TOTAL_OBS,SLA_PETIOLE_INCLUDED_NUM_REMOVED_OBS,SLA_PETIOLE_INDETERMINATE,SLA_PETIOLE_INDETERMINATE_NUM_KEPT_OBS,SLA_PETIOLE_INDETERMINATE_NUM_TOTAL_OBS,SLA_PETIOLE_INDETERMINATE_NUM_REMOVED_OBS,LEAF_ANGLE,LEAF_ANGLE_NUM_KEPT_OBS,LEAF_ANGLE_NUM_TOTAL_OBS,LEAF_ANGLE_NUM_REMOVED_OBS
688.0,ACAENA NOVAE-ZELANDIAE,,,,,,,,,,,,,,12.642603201827272,11.0,11.0,0.0,,,,
1305.0,ADIANTUM CAPILLUS-VENERIS,,,,,,,,,,,,,,63.05910562625,8.0,8.0,0.0,,,,
2473.0,ALISMA PLANTAGO-AQUATICA,,,,,,29.561823899371063,12.0,12.0,0.0,27.5922158978043,1.0,1.0,0.0,21.995782748214154,9.0,9.0,0.0,,,,
4170.0,APERA SPICA-VENTI,,,,,,20.909108507142857,7.0,7.0,0.0,56.97856823731401,104.0,105.0,1.0,25.02,1.0,1.0,0.0,0.8901877316871878,1.0,1.0,0.0
4529.0,ARCTOSTAPHYLOS UVA-URSI,,,,,,6.6,4.0,4.0,0.0,9.151974883761728,40.0,41.0,1.0,10.370304023018729,152.0,156.0,4.0,0.9500408895022462,1.0,1.0,0.0
59175.0,ATROPA BELLA-DONNA,,,,,,22.9,2.0,2.0,0.0,38.71832249857152,25.0,25.0,0.0,39.66038392685714,21.0,21.0,0.0,,,,
1.0,Aa sp,,,,,,,,,,,,,,9.433962264167294,3.0,3.0,0.0,,,,
2.0,Abarema adenophora,,,,,,,,,,10.63,1.0,1.0,0.0,11.8204814814074,3.0,3.0,0.0,,,,
200017.0,Abarema cochliocarpos,,,,,,12.799968968389901,8.0,9.0,1.0,,,,,12.799968968389901,8.0,9.0,1.0,,,,
6.0,Abarema jupunba,,,,,,24.77028728,1.0,1.0,0.0,,,,,15.984682310250001,8.0,8.0,0.0,,,,
200021.0,Abarema jupunba var. jupunba,,,,,,13.05619520023005,6.0,6.0,0.0,,,,,,,,,,,,
7.0,Abarema laeta,,,,,,20.90176284,1.0,1.0,0.0,,,,,20.901881420000002,2.0,2.0,0.0,,,,
8.0,Abarema macradenia,,,,,,8.745767616552975,2.0,2.0,0.0,7.432804447478794,3.0,3.0,0.0,8.31923668425,2.0,2.0,0.0,,,,
9.0,Abarema mataybifolia,,,,,,8.397953238990985,2.0,2.0,0.0,,,,,12.892891311571574,4.0,4.0,0.0,,,,
73139.0,Abarema microcalyx,,,,,,,,,,0.50578,1.0,1.0,0.0,,,,,,,,
29.0,Abies alba,,,,,,5.544017707149466,19.0,19.0,0.0,7.043897312326671,10.0,10.0,0.0,7.288319942178786,128.0,129.0,1.0,,,,
30.0,Abies amabilis,11.0,Abies,amabilis,Pacific silver fir,3.0,,,,,,,,,10.581666666666665,12.0,13.0,1.0,,,,
32.0,Abies balsamea,12.0,Abies,balsamea,balsam fir,3.0,6.606092581692267,6.0,6.0,0.0,9.498729451822093,5.0,5.0,0.0,13.361139939937393,82.0,84.0,2.0,,,,
,,14.0,Abies,bracteata,Santa Lucia or bristlecone fir,3.0,,,,,,,,,,,,,,,,
36.0,Abies cephalonica,,,,,,,,,,,,,,6.53092569285,2.0,2.0,0.0,,,,
39.0,Abies concolor,15.0,Abies,concolor,white fir,3.0,3.7900482758620684,29.0,29.0,0.0,,,,,5.702610317641454,69.0,69.0,0.0,,,,
46.0,Abies firma,,,,,,6.11302997468017,2.0,2.0,0.0,4.81000481000481,1.0,1.0,0.0,5.461797660849999,2.0,2.0,0.0,,,,
48.0,Abies fraseri,16.0,Abies,fraseri,Fraser fir,3.0,,,,,,,,,5.538897817943442,36.0,36.0,0.0,,,,
50.0,Abies grandis,17.0,Abies,grandis,grand fir,3.0,,,,,,,,,11.056371401242858,14.0,14.0,0.0,,,,
56.0,Abies lasiocarpa,18.0,Abies,lasiocarpa,corkbark fir,3.0,3.948587463798321,38.0,38.0,0.0,3.92927308447937,1.0,1.0,0.0,13.264011633315533,103.0,105.0,2.0,,,,
56.0,Abies lasiocarpa,19.0,Abies,lasiocarpa,subalpine fir,3.0,3.948587463798321,38.0,38.0,0.0,3.92927308447937,1.0,1.0,0.0,13.264011633315533,103.0,105.0,2.0,,,,
,,20.0,Abies,magnifica,California red fir,3.0,,,,,,,,,,,,,,,,
61.0,Abies nephrolepis,,,,,,10.022571428571428,7.0,7.0,0.0,,,,,,,,,,,,
66.0,Abies pinsapo,,,,,,,,,,3.42060330108139,2.0,2.0,0.0,3.42060330105,2.0,2.0,0.0,,,,
67.0,Abies procera,22.0,Abies,procera,noble fir,3.0,,,,,,,,,13.413149337299998,6.0,6.0,0.0,,,,
70.0,Abies sachalinensis,,,,,,,,,,,,,,3.9733118237921636,587.0,595.0,8.0,,,,
,,21.0,Abies,shastensis,Shasta red fir,3.0,,,,,,,,,,,,,,,,
,,10.0,Abies,spp.,fir spp.,3.0,,,,,,,,,,,,,,,,
402777.0,Abrodictyum obscurum,,,,,,,,,,,,,,17.231,1.0,1.0,0.0,,,,
200077.0,Abronia elliptica,,,,,,,,,,,,,,10.188,1.0,1.0,0.0,,,,
83.0,Abronia villosa,,,,,,,,,,,,,,14.0,4.0,4.0,0.0,,,,
402785.0,Abrotanella caespitosa,,,,,,,,,,,,,,8.59,1.0,1.0,0.0,,,,
86.0,Abrus precatorius,,,,,,,,,,,,,,44.21587283391598,10.0,10.0,0.0,,,,
89.0,Abuta grandifolia,,,,,,12.01414908,1.0,1.0,0.0,,,,,12.01407454,2.0,2.0,0.0,,,,
93.0,Abuta panamensis,,,,,,17.3410345464286,1.0,1.0,0.0,15.3482756943694,2.0,2.0,0.0,15.721033999999998,3.0,3.0,0.0,,,,
94.0,Abuta racemosa,,,,,,15.26602391399693,7.0,7.0,0.0,14.110869684687213,8.0,8.0,0.0,14.708271177999999,6.0,6.0,0.0,,,,
95.0,Abuta rufescens,,,,,,,,,,,,,,5.632109188988306,18.0,18.0,0.0,,,,
107.0,Abutilon fraseri,,,,,,,,,,11.39517033651849,2.0,2.0,0.0,10.33356044867899,3.0,3.0,0.0,,,,
200126.0,Abutilon grandifolium,,,,,,,,,,,,,,24.7912,25.0,25.0,0.0,,,,
115.0,Abutilon incanum,,,,,,,,,,27.160312073593616,10.0,10.0,0.0,27.1603120736,10.0,10.0,0.0,,,,
116.0,Abutilon indicum,,,,,,,,,,,,,,39.1,1.0,1.0,0.0,,,,
127.0,Abutilon oxycarpum,,,,,,,,,,,,,,21.68936,25.0,25.0,0.0,,,,
139.0,Abutilon theophrasti,,,,,,30.8470588235294,1.0,1.0,0.0,22.3743523414337,10.0,10.0,0.0,25.616509804,6.0,6.0,0.0,,,,
148.0,Acacia acinacea,,,,,,,,,,,,,,6.7412553446,1.0,1.0,0.0,,,,
65070.0,Acacia acrionastes,,,,,,,,,,,,,,10.50348,25.0,25.0,0.0,,,,
151.0,Acacia acuminata,,,,,,,,,,,,,,5.0641790798,1.0,1.0,0.0,,,,
65076.0,Acacia amblygona,,,,,,,,,,,,,,6.87236,25.0,25.0,0.0,,,,
,,6001.0,Acacia,anegadensis,blackbrush wattle,8.0,,,,,,,,,,,,,,,,
169.0,Acacia aneura,6002.0,Acacia,aneura,mulga,8.0,9.219999999999999,5.0,5.0,0.0,8.330219254779772,20.0,20.0,0.0,2.6076152066227043,12.0,12.0,0.0,,,,
271271.0,Acacia aptaneura,,,,,,,,,,,,,,2.705184328531005,4.0,4.0,0.0,,,,
174.0,Acacia argyrophylla,,,,,,,,,,,,,,4.4290769087,1.0,1.0,0.0,,,,
182.0,Acacia aulacocarpa,,,,,,,,,,,,,,7.62336357953447,2.0,2.0,0.0,,,,
185.0,Acacia auriculiformis,6003.0,Acacia,auriculiformis,auri,8.0,11.61,1.0,1.0,0.0,8.67496293010718,2.0,2.0,0.0,9.563758503399997,7.0,7.0,0.0,,,,
