code,score
10,-
11,"0.264 (0.247, 0.272)    |    -4.15 (-5.18, -2.52)"
12,"0.278 (0.276, 0.286)    |    -4.01 (-4.19, -3.42)"
14,-
15,"0.236 (0.236, 0.244)    |    2.326 (2.134, 2.980)"
16,-
17,"0.292 (0.291, 0.308)    |    -4.74 (-5.30, -1.91)"
18,"0.177 (0.166, 0.216)    |    -4.35 (-5.33, 2.743)"
19,"0.181 (0.180, 0.189)    |    -1.26 (-1.93, -1.08)"
20,"0.181 (0.168, 0.182)    |    2.754 (2.668, 3.933)"
21,"0.193 (0.157, 0.201)    |    2.440 (-1.26, 3.214)"
22,"0.286 (0.261, 0.309)    |    -0.75 (-1.85, 1.382)"
41,"0.196 (0.187, 0.212)    |    -2.54 (-3.19, -2.34)"
42,"0.202 (0.172, 0.276)    |    -3.69 (-7.90, -0.35)"
43,"0.959 (0.632, 0.992)    |    0.450 (-1.11, 0.456)"
50,-
51,"0.766 (0.027, 0.983)    |    -3.59 (-7.71, 7.636)"
52,-
53,-
54,"0.813 (0.045, 0.987)    |    -4.08 (-7.44, 4.808)"
55,-
57,"0.288 (0.227, 0.603)    |    -6.33 (-7.73, 0.833)"
58,-
59,"0.740 (0.033, 0.992)    |    -5.41 (-7.32, 7.311)"
60,-
61,-
62,-
63,"0.167 (0.064, 0.949)    |    3.311 (-7.98, 6.794)"
64,"0.015 (0.000, 0.158)    |    2.884 (2.453, 3.271)"
65,-
66,"0.716 (0.028, 0.967)    |    6.081 (-7.81, 7.690)"
67,"0.305 (0.211, 0.388)    |    -6.49 (-6.96, 1.187)"
68,"0.380 (0.364, 0.391)    |    -3.32 (-3.99, -2.85)"
69,"0.394 (0.090, 0.977)    |    -5.91 (-7.79, 7.753)"
70,"0.389 (0.350, 0.643)    |    -2.96 (-7.74, 6.538)"
71,"0.308 (0.308, 0.333)    |    -0.44 (-1.02, -0.18)"
72,"0.225 (0.182, 0.266)    |    4.170 (-2.25, 5.742)"
73,"0.344 (0.316, 0.344)    |    7.975 (7.687, 7.992)"
81,"0.240 (0.236, 0.252)    |    0.050 (-0.14, 0.926)"
90,"0.536 (0.081, 0.963)    |    2.876 (-7.30, 6.346)"
91,"0.282 (0.268, 0.318)    |    -4.34 (-4.46, -3.32)"
92,-
93,"0.208 (0.203, 0.211)    |    2.971 (2.345, 2.972)"
94,"0.278 (0.272, 0.296)    |    -3.85 (-4.00, -3.06)"
95,"0.201 (0.200, 0.212)    |    -0.86 (-1.23, -0.45)"
96,"0.227 (0.197, 0.255)    |    -3.39 (-4.27, -0.93)"
97,"0.324 (0.319, 0.338)    |    -2.42 (-2.75, -2.08)"
98,"0.316 (0.296, 0.328)    |    -5.51 (-6.87, -3.51)"
101,"0.290 (0.243, 0.305)    |    3.726 (3.045, 4.703)"
102,"0.320 (0.272, 0.329)    |    -3.02 (-7.85, -1.36)"
103,"0.329 (0.263, 0.339)    |    2.308 (1.481, 2.720)"
104,-
105,"0.342 (0.342, 0.381)    |    1.559 (0.967, 2.348)"
106,-
107,-
108,"0.235 (0.232, 0.238)    |    5.290 (5.177, 5.546)"
109,"0.248 (0.226, 0.433)    |    7.961 (4.578, 7.968)"
110,"0.407 (0.394, 0.420)    |    2.768 (2.347, 3.094)"
111,"0.406 (0.394, 0.413)    |    4.598 (4.186, 4.848)"
112,-
113,"0.314 (0.266, 0.334)    |    1.871 (-6.82, 1.947)"
114,"0.038 (0.028, 0.987)    |    -6.53 (-7.81, 7.473)"
115,"0.426 (0.395, 0.546)    |    3.137 (0.291, 4.067)"
116,"0.292 (0.271, 0.291)    |    3.371 (2.713, 3.975)"
117,"0.365 (0.356, 0.376)    |    3.803 (3.630, 4.391)"
118,-
119,"0.172 (0.033, 0.969)    |    0.622 (-7.58, 6.950)"
120,-
121,"0.462 (0.443, 0.492)    |    4.883 (4.476, 5.224)"
122,"0.314 (0.306, 0.318)    |    4.614 (4.335, 4.756)"
123,"0.441 (0.435, 0.519)    |    -2.38 (-3.25, -1.38)"
124,-
125,"0.287 (0.283, 0.290)    |    -1.52 (-1.73, -1.17)"
126,"0.485 (0.428, 0.498)    |    0.245 (-0.24, 0.908)"
127,"0.409 (0.378, 0.421)    |    4.624 (4.183, 5.933)"
128,"0.483 (0.422, 0.504)    |    4.897 (4.718, 5.355)"
129,"0.417 (0.415, 0.419)    |    -1.80 (-1.89, -1.49)"
130,"0.367 (0.333, 0.385)    |    -1.11 (-2.00, -0.38)"
131,"0.355 (0.353, 0.359)    |    1.711 (1.609, 1.790)"
132,"0.427 (0.416, 0.437)    |    -0.29 (-0.45, -0.04)"
133,"0.538 (0.037, 0.933)    |    -4.51 (-7.11, 7.383)"
134,-
135,-
136,-
137,-
138,-
139,-
140,-
142,-
143,-
201,-
202,"0.335 (0.333, 0.337)    |    2.448 (2.328, 2.459)"
211,"0.355 (0.328, 0.368)    |    -0.78 (-1.87, 0.304)"
212,-
221,"0.361 (0.350, 0.378)    |    -2.38 (-3.07, -2.31)"
222,"0.623 (0.587, 0.723)    |    4.663 (2.373, 5.847)"
231,"0.803 (0.474, 0.904)    |    4.703 (-2.04, 4.597)"
241,"0.251 (0.245, 0.259)    |    -1.84 (-2.07, -1.52)"
242,"0.334 (0.331, 0.349)    |    -6.29 (-7.71, -5.29)"
251,"0.445 (0.072, 0.894)    |    4.621 (-7.03, 7.312)"
252,-
260,"0.426 (0.389, 0.522)    |    -6.75 (-7.95, -3.90)"
261,"0.464 (0.459, 0.477)    |    -4.80 (-5.04, -4.31)"
262,-
263,"0.337 (0.329, 0.340)    |    -2.71 (-2.94, -2.31)"
264,"0.209 (0.195, 0.212)    |    2.580 (1.566, 2.818)"
270,-
299,-
300,-
310,"0.406 (0.063, 0.966)    |    -1.52 (-6.81, 7.612)"
311,"0.639 (0.513, 0.971)    |    0.479 (-4.54, 0.492)"
312,"0.493 (0.473, 0.506)    |    -1.81 (-3.85, -1.06)"
313,"0.646 (0.556, 0.646)    |    -0.54 (-1.51, -0.52)"
314,"0.966 (0.528, 0.979)    |    -1.19 (-6.78, 1.370)"
315,"0.674 (0.560, 0.856)    |    -1.36 (-2.29, -0.38)"
316,"0.536 (0.532, 0.536)    |    -1.35 (-1.53, -1.28)"
317,"0.486 (0.483, 0.517)    |    -0.06 (-0.60, 0.196)"
318,"0.560 (0.557, 0.562)    |    -2.44 (-2.62, -2.31)"
319,"0.841 (0.602, 0.998)    |    -0.77 (-7.64, -0.21)"
320,"0.600 (0.050, 0.975)    |    -5.48 (-7.52, 7.071)"
321,"0.778 (0.013, 0.945)    |    -1.17 (-7.53, 6.983)"
322,"0.135 (0.037, 0.946)    |    -0.51 (-7.56, 7.118)"
323,-
330,-
331,"0.446 (0.390, 0.559)    |    -4.89 (-7.78, -0.18)"
332,"0.907 (0.698, 0.979)    |    0.695 (-1.41, 0.788)"
333,"0.372 (0.322, 0.490)    |    -6.58 (-7.74, 0.050)"
334,-
341,"0.588 (0.510, 0.908)    |    -0.40 (-2.89, 1.613)"
345,-
351,"0.437 (0.417, 0.465)    |    3.257 (3.173, 3.980)"
352,"0.446 (0.412, 0.520)    |    3.602 (2.806, 5.438)"
355,"0.566 (0.396, 0.873)    |    -6.22 (-7.46, 3.299)"
356,"0.534 (0.421, 0.577)    |    -2.15 (-5.08, -2.15)"
361,"0.357 (0.345, 0.381)    |    2.694 (2.314, 3.038)"
367,"0.381 (0.343, 0.821)    |    -7.50 (-7.87, 1.377)"
370,"0.499 (0.416, 0.547)    |    -3.12 (-7.81, -1.12)"
371,"0.592 (0.566, 0.592)    |    -2.62 (-3.04, -2.37)"
372,"0.571 (0.540, 0.582)    |    -2.79 (-2.79, -2.20)"
373,"0.605 (0.525, 0.648)    |    -0.74 (-1.99, 0.347)"
374,-
375,"0.435 (0.431, 0.448)    |    -1.11 (-1.20, -0.72)"
376,"0.275 (0.231, 0.553)    |    -6.49 (-7.69, 1.535)"
378,-
379,"0.371 (0.344, 0.461)    |    -2.53 (-3.14, -1.38)"
381,"0.499 (0.416, 0.547)    |    -3.12 (-7.81, -1.12)"
391,"0.719 (0.661, 0.854)    |    -2.83 (-3.81, -1.96)"
400,"0.561 (0.510, 0.561)    |    -1.31 (-2.26, -1.06)"
401,"0.955 (0.731, 0.997)    |    3.351 (0.543, 6.162)"
402,"0.577 (0.531, 0.604)    |    -0.52 (-1.45, -0.16)"
403,"0.564 (0.557, 0.592)    |    -0.95 (-1.20, -0.40)"
404,"0.715 (0.603, 0.953)    |    0.011 (-1.99, 5.354)"
405,"0.486 (0.428, 0.525)    |    -5.73 (-7.08, -2.70)"
406,-
407,"0.486 (0.468, 0.507)    |    -1.37 (-2.27, -1.24)"
408,"0.686 (0.590, 0.763)    |    -0.90 (-1.52, 0.276)"
409,"0.599 (0.593, 0.615)    |    -0.98 (-1.50, -0.65)"
410,"0.128 (0.016, 0.832)    |    -1.50 (-6.56, 6.186)"
421,"0.457 (0.331, 0.806)    |    -2.62 (-5.98, 7.045)"
422,-
423,-
430,-
431,"0.551 (0.418, 0.825)    |    1.979 (1.036, 5.090)"
450,"0.721 (0.022, 0.964)    |    -6.18 (-7.50, 7.578)"
451,"0.461 (0.021, 0.973)    |    -5.04 (-7.16, 7.541)"
452,"0.373 (0.228, 0.772)    |    -3.95 (-7.42, 7.394)"
460,"0.507 (0.467, 0.642)    |    -4.60 (-6.35, -0.74)"
461,"0.670 (0.576, 0.786)    |    -0.31 (-2.50, 0.794)"
462,"0.599 (0.586, 0.618)    |    -1.91 (-2.38, -0.86)"
463,-
471,"0.698 (0.449, 0.847)    |    -1.18 (-4.80, -0.07)"
475,"0.222 (0.042, 0.984)    |    -2.46 (-7.26, 7.557)"
476,-
477,-
478,-
479,-
481,"0.445 (0.018, 0.983)    |    3.332 (-7.41, 6.728)"
491,"0.624 (0.568, 0.713)    |    -3.22 (-5.04, -2.69)"
492,"0.981 (0.196, 0.981)    |    7.113 (-7.09, 7.611)"
500,"0.526 (0.436, 0.612)    |    -5.33 (-7.41, -0.25)"
501,"0.593 (0.037, 0.930)    |    -0.03 (-7.78, 6.811)"
502,"0.016 (0.089, 0.966)    |    -2.55 (-7.98, 7.639)"
510,-
521,"0.526 (0.453, 0.577)    |    -0.41 (-0.65, 0.313)"
531,"0.626 (0.622, 0.638)    |    -3.91 (-3.94, -3.46)"
540,"0.531 (0.490, 0.596)    |    -2.76 (-3.36, -0.99)"
541,"0.551 (0.542, 0.557)    |    -0.31 (-0.58, -0.13)"
542,"0.466 (0.444, 0.656)    |    -0.03 (-1.66, 3.717)"
543,"0.374 (0.362, 0.393)    |    -0.16 (-0.61, 0.133)"
544,"0.511 (0.488, 0.544)    |    -0.66 (-1.07, -0.31)"
545,"0.073 (0.048, 0.962)    |    -2.04 (-7.55, 7.876)"
546,"0.532 (0.398, 0.903)    |    2.933 (-0.75, 4.911)"
547,-
548,-
551,"0.669 (0.420, 0.991)    |    -5.70 (-6.23, 6.250)"
552,"0.573 (0.504, 0.644)    |    -2.60 (-4.10, -1.03)"
555,"0.577 (0.207, 0.656)    |    3.918 (0.902, 7.243)"
571,"0.861 (0.475, 0.886)    |    -2.82 (-4.50, 3.352)"
580,"0.612 (0.367, 0.690)    |    -3.64 (-6.93, 0.221)"
591,"0.462 (0.413, 0.475)    |    -7.13 (-7.92, -6.15)"
600,"0.435 (0.297, 0.696)    |    -0.40 (-6.77, 5.852)"
601,"0.506 (0.411, 0.625)    |    -2.65 (-3.61, -0.42)"
602,"0.653 (0.602, 0.687)    |    0.511 (0.187, 0.879)"
603,-
604,-
605,-
611,"0.432 (0.418, 0.436)    |    -0.56 (-0.59, -0.33)"
621,"0.489 (0.489, 0.492)    |    0.799 (0.570, 0.799)"
631,"0.365 (0.362, 0.375)    |    -2.14 (-2.66, -2.14)"
641,"0.383 (0.367, 0.662)    |    -6.98 (-7.96, -0.48)"
650,"0.497 (0.402, 0.573)    |    -5.02 (-5.95, 1.895)"
651,"0.519 (0.469, 0.581)    |    0.117 (-0.28, 1.770)"
652,"0.868 (0.793, 0.997)    |    -0.28 (-1.62, 0.347)"
653,"0.454 (0.412, 0.470)    |    -1.35 (-1.91, -1.14)"
654,"0.970 (0.900, 0.999)    |    -2.76 (-7.46, -0.16)"
655,"0.559 (0.456, 0.681)    |    -6.43 (-7.91, -3.72)"
660,"0.350 (0.324, 0.420)    |    -4.38 (-7.64, -1.43)"
661,"0.415 (0.011, 0.960)    |    -2.34 (-7.52, 7.046)"
680,"0.571 (0.425, 0.755)    |    -4.82 (-7.47, -0.47)"
681,"0.712 (0.525, 0.945)    |    -4.51 (-7.87, 1.751)"
682,"0.613 (0.498, 0.758)    |    -1.83 (-7.48, -1.74)"
691,"0.485 (0.461, 0.516)    |    -0.13 (-1.55, -0.21)"
692,"0.235 (0.053, 0.977)    |    2.435 (-7.01, 7.818)"
693,"0.503 (0.489, 0.521)    |    -1.98 (-2.72, -1.78)"
694,"0.470 (0.449, 0.493)    |    0.391 (-0.51, 1.217)"
701,"0.557 (0.506, 0.604)    |    -3.19 (-4.03, -2.39)"
711,"0.475 (0.456, 0.494)    |    -2.25 (-2.68, -1.92)"
712,"0.426 (0.313, 0.780)    |    -3.95 (-5.81, 1.851)"
721,"0.453 (0.382, 0.482)    |    -0.92 (-1.79, 0.002)"
722,"0.820 (0.610, 0.998)    |    -2.25 (-7.40, 0.625)"
730,-
731,"0.578 (0.564, 0.621)    |    -0.34 (-1.98, -0.17)"
740,"0.675 (0.622, 0.735)    |    3.081 (1.569, 4.218)"
741,"0.345 (0.330, 0.367)    |    2.040 (1.296, 2.965)"
742,"0.599 (0.533, 0.686)    |    3.460 (1.794, 4.328)"
743,"0.424 (0.401, 0.440)    |    3.080 (2.554, 3.605)"
744,"0.959 (0.881, 0.998)    |    -0.43 (-3.82, 1.792)"
745,"0.358 (0.034, 0.983)    |    5.419 (-7.29, 7.666)"
746,"0.404 (0.394, 0.410)    |    1.975 (1.815, 2.215)"
747,"0.392 (0.331, 0.482)    |    6.923 (3.349, 7.841)"
748,-
749,"0.383 (0.298, 0.421)    |    6.489 (3.634, 7.123)"
752,-
755,-
756,"0.635 (0.057, 0.984)    |    -3.45 (-7.39, 7.541)"
757,"0.885 (0.057, 0.982)    |    -3.09 (-7.92, 6.633)"
758,-
760,"0.758 (0.194, 0.941)    |    -4.01 (-7.93, 6.164)"
761,"0.482 (0.434, 0.546)    |    -0.83 (-0.79, -0.20)"
762,"0.520 (0.516, 0.540)    |    -0.96 (-1.31, -0.88)"
763,"0.803 (0.362, 0.854)    |    -1.56 (-4.45, -0.03)"
765,-
766,"0.772 (0.014, 0.921)    |    4.515 (-7.82, 7.694)"
768,"0.277 (0.262, 0.353)    |    -1.07 (-2.15, 0.519)"
800,"0.745 (0.642, 0.991)    |    -5.70 (-7.61, 1.046)"
801,"0.461 (0.453, 0.481)    |    -1.73 (-1.91, -0.68)"
802,"0.543 (0.535, 0.552)    |    -1.21 (-1.43, -1.08)"
803,"0.477 (0.053, 0.986)    |    -6.59 (-7.30, 7.613)"
804,"0.518 (0.443, 0.670)    |    -4.30 (-4.64, -0.10)"
805,"0.349 (0.326, 0.352)    |    -1.00 (-1.13, -0.66)"
806,"0.576 (0.557, 0.581)    |    -0.62 (-0.99, -0.41)"
807,"0.453 (0.440, 0.474)    |    4.196 (4.240, 5.133)"
808,"0.780 (0.571, 0.959)    |    -1.39 (-4.02, 7.748)"
809,"0.508 (0.445, 0.563)    |    -2.18 (-3.46, -0.62)"
810,"0.235 (0.009, 0.959)    |    -5.59 (-7.53, 7.574)"
811,-
812,"0.639 (0.621, 0.642)    |    0.323 (-0.14, 0.577)"
813,"0.651 (0.544, 0.705)    |    2.312 (0.051, 3.246)"
814,"0.359 (0.022, 0.964)    |    -5.98 (-7.78, 7.789)"
815,"0.379 (0.362, 0.406)    |    2.863 (2.527, 3.657)"
816,"0.399 (0.304, 0.997)    |    -5.20 (-6.77, 0.983)"
817,"0.581 (0.525, 0.636)    |    -0.51 (-1.94, -0.01)"
818,"0.457 (0.433, 0.466)    |    2.533 (2.081, 2.743)"
819,"0.344 (0.320, 0.441)    |    -0.84 (-1.60, 1.683)"
820,"0.634 (0.583, 0.638)    |    -0.41 (-1.33, -0.14)"
821,"0.455 (0.441, 0.532)    |    -4.29 (-5.49, -2.75)"
822,"0.428 (0.391, 0.491)    |    -3.27 (-6.33, -1.22)"
823,"0.489 (0.467, 0.492)    |    -1.68 (-2.70, -1.68)"
824,"0.380 (0.362, 0.477)    |    -3.01 (-3.13, -1.12)"
825,"0.473 (0.461, 0.548)    |    -2.13 (-4.77, -1.52)"
826,"0.714 (0.687, 0.802)    |    -1.76 (-3.17, -0.86)"
827,"0.590 (0.565, 0.592)    |    -1.07 (-1.40, -0.66)"
828,"0.038 (0.046, 0.894)    |    -2.50 (-6.06, 5.346)"
829,"0.777 (0.044, 0.981)    |    5.993 (-7.25, 7.325)"
830,"0.450 (0.417, 0.495)    |    -0.87 (-2.96, -0.70)"
831,"0.579 (0.558, 0.598)    |    -0.53 (-1.44, -0.25)"
832,"0.509 (0.502, 0.517)    |    -1.83 (-1.93, -1.40)"
833,"0.538 (0.537, 0.548)    |    -1.24 (-1.29, -0.89)"
834,"0.964 (0.869, 0.997)    |    0.253 (-0.67, 2.067)"
835,"0.526 (0.498, 0.529)    |    -1.02 (-1.88, -0.96)"
836,"0.312 (0.038, 0.949)    |    -5.10 (-7.37, 7.588)"
837,"0.507 (0.503, 0.517)    |    -1.60 (-1.60, -1.15)"
838,"0.639 (0.633, 0.669)    |    -1.13 (-2.77, -0.93)"
839,"0.533 (0.493, 0.600)    |    2.755 (2.296, 3.167)"
840,"0.422 (0.242, 0.602)    |    3.874 (-0.46, 4.695)"
841,"0.010 (0.012, 0.970)    |    2.071 (-7.90, 7.597)"
842,"0.522 (0.322, 0.822)    |    -0.22 (-6.09, 1.656)"
